Search_Rank,MIM_Raw,MIM_ID,Entry_Prefix,Title,Included_Titles,Relation_Class,Mechanism_Tag,Age_Scope,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Phenotype_Link_Status,Linked_Gene_Symbols,Target_Eligible_Strict,Decision,Reason,Evidence_URL
21,#608033,608033,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
22,#612376,612376,#,ACUTE PROMYELOCYTIC LEUKEMIA; APL,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
23,#620461,620461,#,"ENCEPHALITIS, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 12; IIAE12",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
24,%613067,613067,%,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 2; ALL2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
26,#612336,612336,#,"THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL DOMINANT; THPH5",,Extended_etiologic_record,thrombophilia,Mixed,false,true,verified_phenotype_gene_link,PROS1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/5627
31,#606054,606054,#,PROPIONIC ACIDEMIA,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
32,#175780,175780,#,BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1,,Extended_etiologic_record,mixed_small_vessel,Mixed,true,false,verified_phenotype_gene_link,COL4A1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/books/NBK7046/
33,#603903,603903,#,SICKLE CELL DISEASE,,Extended_etiologic_record,hematologic,Pediatric/mixed,false,false,verified_phenotype_gene_link,HBB,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/3043
36,#621313,621313,#,BRAIN SMALL VESSEL DISEASE 4; BSVD4,,Extended_etiologic_record,mixed_small_vessel,Adult,true,false,verified_phenotype_gene_link,NIT1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/4817
37,#600142,600142,#,"CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY 2; CARASIL2",,Primary_evidence_record,arteriopathy,Young adult/adult,false,false,verified_phenotype_gene_link,HTRA1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/books/NBK32533/
38,#236200,236200,#,HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY,"HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED, INCLUDED",Extended_etiologic_record,metabolic_thrombosis,Mixed,false,false,verified_phenotype_gene_link,CBS,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/875
39,#621394,621394,#,BRAIN SMALL VESSEL DISEASE 6 WITH LEUKOENCEPHALOPATHY; BSVD6,,Extended_etiologic_record,mixed_small_vessel,Adult,true,false,verified_phenotype_gene_link,CTSA,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/medgen/1055914
40,#605714,605714,#,"CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED",,Excluded,arteriopathy_or_small_vessel,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
42,#613834,613834,#,SMOOTH MUSCLE DYSFUNCTION SYNDROME; SMDYS,,Extended_etiologic_record,arteriopathy,Pediatric/mixed,true,false,verified_phenotype_gene_link,ACTA2,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/59
43,#610251,610251,#,"ALCOHOL SENSITIVITY, ACUTE","HANGOVER, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
44,#612740,612740,#,"PORPHYRIA, ACUTE HEPATIC","LEAD POISONING, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,非脑动脉缺血性疾病,
45,#613002,613002,#,"IMMUNODEFICIENCY 83, SUSCEPTIBILITY TO VIRAL INFECTIONS; IMD83","ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 2, INCLUDED; IIAE2, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
46,#614212,614212,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4; IIAE4",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
47,#614849,614849,#,IMMUNODEFICIENCY 132A; IMD132A,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
48,#614850,614850,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 6; IIAE6",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
49,#616532,616532,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 7; IIAE7",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
50,#616719,616719,#,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 21; SCAR21",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
51,#617900,617900,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8; IIAE8",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
52,#618384,618384,#,"LEUKOENCEPHALOPATHY, ACUTE REVERSIBLE, WITH INCREASED URINARY ALPHA-KETOGLUTARATE; ARLIAK",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
53,#618426,618426,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 9; IIAE9",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
54,#133180,133180,#,"ERYTHROLEUKEMIA, FAMILIAL, SUSCEPTIBILITY TO; FERLK",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
55,#139393,139393,#,"GUILLAIN-BARRE SYNDROME, FAMILIAL; GBS","POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, CHRONIC, INCLUDED; CIDP, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
56,#601399,601399,#,"PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY; FPDMM",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
57,#230900,230900,#,"GAUCHER DISEASE, TYPE II; GD2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
58,#253300,253300,#,"SPINAL MUSCULAR ATROPHY, TYPE I; SMA1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
59,#608068,608068,#,"NEUTROPHILIC DERMATOSIS, ACUTE FEBRILE; AFND",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
60,#610551,610551,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 1; IIAE1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
61,#615545,615545,#,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3; ALL3",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
62,#619396,619396,#,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 10; IIAE10",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
63,#619441,619441,#,"ENCEPHALITIS, ACUTE, INFECTION (VIRAL)-INDUCED, SUSCEPTIBILITY TO, 11; IIAE11",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
64,#620151,620151,#,WOLMAN DISEASE; WOLD,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
65,#620950,620950,#,"ENCEPHALOPATHY, ACUTE TRANSIENT; ENPAT",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
66,#621333,621333,#,INFECTION-INDUCED ACUTE-ONSET AXONAL NEUROPATHY; IIAAN,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,急性脑炎/感染性脑病，非AIS,
67,%601676,601676,%,ACUTE INSULIN RESPONSE,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
68,%246400,246400,%,LETTERER-SIWE DISEASE,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
69,151380,151380,,"LEUKEMIA, ACUTE MONOCYTIC",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
70,246470,246470,,"LEUKEMIA, ACUTE MYELOCYTIC, WITH POLYPOSIS COLI AND COLON CANCER",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
71,247640,247640,,"LYMPHOBLASTIC LEUKEMIA, ACUTE, WITH LYMPHOMATOUS FEATURES; LALL",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
72,268240,268240,,RHEUMATIC FEVER-RELATED ANTIGEN,"RHEUMATIC FEVER, ACUTE, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
73,606752,606752,,ACUTE HEMORRHAGIC LEUKOENCEPHALITIS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
74,607665,607665,,TUBULOINTERSTITIAL NEPHRITIS WITH UVEITIS; TINU,"ACUTE TUBULOINTERSTITIAL NEPHRITIS, INCLUDED; ATIN, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
75,308960,308960,,"LEUKEMIA, ACUTE, X-LINKED",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
90,#187300,187300,#,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1; HHT1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
91,#621295,621295,#,"CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY 1; CARASIL1",,Excluded,arteriopathy_or_small_vessel,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
94,%611494,611494,%,"ATRIAL FIBRILLATION, FAMILIAL, 5; ATFB5",,Extended_etiologic_record,cardioembolic_upstream,Not_assigned,false,false,etiologic_record_without_target_extraction,,false,Retain_as_evidence_record,保留为病因学扩展记录，但当前未提取可靠单基因靶点或病因过于间接,
95,#105210,105210,#,"AMYLOIDOSIS, HEREDITARY SYSTEMIC 1; AMYLD1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
99,#615483,615483,#,"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5; IBGC5",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
101,#145600,145600,#,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
103,#615750,615750,#,MOYAMOYA DISEASE 6 WITH OR WITHOUT ACHALASIA; MYMY6,,Extended_etiologic_record,moyamoya,Pediatric/mixed,true,false,verified_phenotype_gene_link,GUCY1A1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/medgen/816733
104,#618564,618564,#,"MICROANGIOPATHY AND LEUKOENCEPHALOPATHY, PONTINE, AUTOSOMAL DOMINANT; PADMAL",,Excluded,arteriopathy_or_small_vessel,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
107,#607151,607151,#,MOYAMOYA DISEASE 2; MYMY2,,Extended_etiologic_record,moyamoya,Mixed,true,false,verified_phenotype_gene_link,RNF213,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/medgen/339584
108,#210720,210720,#,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
113,#301500,301500,#,FABRY DISEASE,"FABRY DISEASE, CARDIAC VARIANT, INCLUDED",Extended_etiologic_record,metabolic_vasculopathy,Adult/mixed,false,false,verified_phenotype_gene_link,GLA,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/2717
115,#182410,182410,#,SNEDDON SYNDROME; SNDNS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
116,#621469,621469,#,MOYAMOYA DISEASE 8; MYMY8,,Extended_etiologic_record,moyamoya,Mixed,true,false,verified_phenotype_gene_link,NOS3,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/4846
117,#243500,243500,#,ISOVALERIC ACIDEMIA; IVA,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
118,#621409,621409,#,"AUTOINFLAMMATION AND AUTOIMMUNITY, SYSTEMIC, WITH IMMUNE DYSREGULATION 2; AIAISD2",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
119,#611788,611788,#,"AORTIC ANEURYSM, FAMILIAL THORACIC 6; AAT6",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
120,#614024,614024,#,PROTEIN Z DEFICIENCY,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
125,%252350,252350,%,MOYAMOYA DISEASE 1; MYMY1,,Extended_etiologic_record,moyamoya,Not_assigned,false,false,locus_or_molecular_basis_unresolved,,false,Retain_as_evidence_record,保留为病因学扩展记录，但当前未提取可靠单基因靶点或病因过于间接,
128,#619220,619220,#,IMMUNODEFICIENCY 78 WITH AUTOIMMUNITY AND DEVELOPMENTAL DELAY; IMD78,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
131,#173900,173900,#,POLYCYSTIC KIDNEY DISEASE 1 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD1,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
132,#620687,620687,#,MOYAMOYA DISEASE 7; MYMY7,,Extended_etiologic_record,moyamoya,Mixed,true,false,verified_phenotype_gene_link,ANO1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/medgen/1851566
136,#162200,162200,#,"NEUROFIBROMATOSIS, TYPE I; NF1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
140,#194050,194050,#,WILLIAMS-BEUREN SYNDROME; WBS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
141,#251000,251000,#,METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY; MAMM,"METHYLMALONIC ACIDURIA, mut(0) TYPE, INCLUDED",Excluded,metabolic_or_hematologic,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
144,#613055,613055,#,"ATRIAL FIBRILLATION, FAMILIAL, 8; ATFB8",,Extended_etiologic_record,cardioembolic_upstream,Not_assigned,false,false,etiologic_record_without_target_extraction,,false,Retain_as_evidence_record,保留为病因学扩展记录，但当前未提取可靠单基因靶点或病因过于间接,
149,#176270,176270,#,PRADER-WILLI SYNDROME; PWS,"PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
151,#188055,188055,#,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2,"THROMBOPHILIA DUE TO FACTOR V LEIDEN, INCLUDED",Extended_etiologic_record,thrombophilia,Mixed,false,true,verified_phenotype_gene_link,F5,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/2153
152,135580,135580,,"FIBROMUSCULAR DYSPLASIA, ARTERIAL; FMDA",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
153,#208000,208000,#,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1","CORONARY SCLEROSIS, MEDIAL, OF INFANCY, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
155,#232600,232600,#,GLYCOGEN STORAGE DISEASE V; GSD5,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
158,#616779,616779,#,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 2; CADASIL2",,Primary_evidence_record,arteriopathy,Adult,false,false,verified_phenotype_gene_link,HTRA1,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/books/NBK32533/
162,#104300,104300,#,"ALZHEIMER DISEASE, FAMILIAL, 1; AD1","ALZHEIMER DISEASE, INCLUDED; AD, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
