Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
ATP13A2,ATPase Cation Transporting 13A2,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3100295,92.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AVP,Arginine Vasopressin,551,ENSG00000101200,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.224776,89.0,,,,,0.2,1.0,9,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
B2M,Beta-2-Microglobulin,567,ENSG00000166710,BroadSensitivity,False,False,False,True,,0,,0,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,False,True,1.7358501,95.0,,,,,0.2,0.75,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BAX,"BCL2 Associated X, Apoptosis Regulator",,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,92.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BCL2,BCL2 Apoptosis Regulator,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3100295,93.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BDNF,Brain Derived Neurotrophic Factor,627,ENSG00000176697,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,8.27195,100.0,,,,,0.3,0.8181818181818182,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BECN1,Beclin 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.9122307,86.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BIRC5,Baculoviral IAP Repeat Containing 5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,93.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.0354409,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BRCA1,BRCA1 DNA Repair Associated,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BRCC3,BRCA1/BRCA2-Containing Complex Subunit 3,79184,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,83.0,300617,300845,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C1QA,Complement C1q A Chain,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.7043025,90.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C1R,Complement C1r,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C3,Complement C3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C4B,Complement C4B (Chido/Rodgers Blood Group),721,ENSG00000224389,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.7043025,90.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CACNA2D1,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CALCA,Calcitonin Related Polypeptide Alpha,796,ENSG00000110680,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.9423192,80.0,,,,,0.2,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CALM1,Calmodulin 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CASP3,Caspase 3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.878299,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CAV1,Caveolin 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.7809563,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CBS,Cystathionine beta-synthase,875,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,613381,236200,Extended_Etiologic,metabolic_thrombosis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCL2,C-C Motif Chemokine Ligand 2,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.881479,87.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCL5,C-C Motif Chemokine Ligand 5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,84.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCND1,Cyclin D1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD163,CD163 molecule,9332,ENSG00000177575,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD34,CD34 molecule,947,ENSG00000174059,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD86,CD86 Molecule,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,90.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CDK5,Cyclin Dependent Kinase 5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CDK5R1,Cyclin Dependent Kinase 5 Regulatory Subunit 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3100295,82.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CFB,Complement Factor B,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3100295,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CHGA,Chromogranin A,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,73.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CHI3L1,Chitinase 3 Like 1,1116,ENSG00000133048,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.7784796,79.0,,,,,0.2,1.0,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLDN3,Claudin 3,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,69.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLDN5,Claudin 5,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.842616,76.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLEC2B,C-Type Lectin Domain Family 2 Member B,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,65.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLU,Clusterin,1191,ENSG00000120885,BroadSensitivity,False,False,False,True,,0,,0,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,False,True,1.6111301,92.0,,,,,0.2,0.5,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
COL4A1,Collagen Type IV Alpha 1 Chain,1282,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,97.0,120130,175780;611773,Extended_Etiologic,mixed_small_vessel,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
COL4A4,Collagen Type IV Alpha 4 Chain,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CORIN,"Corin, Serine Peptidase",,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,86.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CORT,cortistatin,1325,ENSG00000241563,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CPB2,Carboxypeptidase B2,1361,ENSG00000080618,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3885136,82.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CPSF2,Cleavage And Polyadenylation Specific Factor 2,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,73.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CRP,C-Reactive Protein,1401,ENSG00000132693,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,21.152647,87.0,,,,,0.3,0.9210526315789472,38,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF2,colony stimulating factor 2,1437,ENSG00000164400,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF3,Colony Stimulating Factor 3,1440,ENSG00000108342,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.8315511,83.0,,,,,0.2,0.8,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CST3,Cystatin C,1471,ENSG00000101439,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.0733933,79.0,,,,,0.25,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CTNNB1,Catenin Beta 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.9833109,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CTSA,Cathepsin A,5476,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,613111,621394,Extended_Etiologic,mixed_small_vessel,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CTSG,Cathepsin G,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL12,C-X-C Motif Chemokine Ligand 12,6387,ENSG00000107562,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.618697,92.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL16,C-X-C Motif Chemokine Ligand 16,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.9122307,72.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL8,C-X-C Motif Chemokine Ligand 8,3576,ENSG00000169429,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.106667,88.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCR4,C-X-C Motif Chemokine Receptor 4,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYBB,Cytochrome B-245 Beta Chain,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.9833109,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,1557,ENSG00000165841,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,False,True,5.4051743,92.0,,,,,0.2,0.5,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYP2C8,Cytochrome P450 Family 2 Subfamily C Member 8,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.4548626,88.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
