Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
F2,"Coagulation Factor II, Thrombin",2147,ENSG00000180210,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM;DisGeNET,3,False,False,True,True,True,True,False,False,True,2.5259428,100.0,176930,601367,UltraStrict_Direct_AIS,direct_ischemic,0.2,0.6666666666666666,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F5,Coagulation Factor V,2153,,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM,2,False,False,True,True,True,True,False,False,False,2.374183,99.0,612309,601367;188055,UltraStrict_Direct_AIS;Extended_Etiologic,direct_ischemic;thrombophilia,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GFAP,Glial Fibrillary Acidic Protein,2670,ENSG00000131095,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,True,True,True,4.521371,100.0,,,,,0.3,0.9090909090909092,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
IL6,Interleukin 6,3569,ENSG00000136244,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,7.739003,93.0,,,,,0.3,0.8888888888888888,27,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
JAK2,Janus Kinase 2,3717,ENSG00000096968,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,5.2918544,100.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
MMP2,Matrix Metallopeptidase 2,4313,ENSG00000087245,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,False,True,5.749848,100.0,,,,,0.25,0.75,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
MMP9,Matrix Metallopeptidase 9,4318,ENSG00000100985,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,17.409672,100.0,,,,,0.35,0.9230769230769232,26,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
NFKB1,Nuclear Factor Kappa B Subunit 1,4790,ENSG00000109320,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,10.322936,100.0,,,,,0.2,1.0,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
NPPB,Natriuretic Peptide B,4879,ENSG00000120937,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,6.214533,74.0,,,,,0.3,0.9444444444444444,18,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
PLA2G7,Phospholipase A2 Group VII,7941,ENSG00000146070,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,True,True,True,4.5516458,82.0,,,,,0.3,1.0,15,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
PLAT,"Plasminogen Activator, Tissue Type",5327,ENSG00000104368,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,14.745126,92.0,,,,,0.35,1.0,20,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
PLAU,"Plasminogen Activator, Urokinase",,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,21.936646,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
S100B,S100 Calcium Binding Protein B,6285,ENSG00000160307,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.4530697,88.0,,,,,0.2,0.8571428571428571,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
SERPINE1,Serpin Family E Member 1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.2394767,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
TJP1,Tight Junction Protein 1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.373794,96.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
TLR4,Toll Like Receptor 4,7099,ENSG00000136869,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,5.007799,96.0,,,,,0.25,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
TNF,Tumor Necrosis Factor,7124,ENSG00000232810,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,True,True,True,3.3012965,91.0,,,,,0.3,0.8235294117647058,17,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
VEGFA,Vascular Endothelial Growth Factor A,7422,ENSG00000112715,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,5.9507003,97.0,,,,,0.35,0.9411764705882352,17,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
